Hero,Position,Pick Rate,Win Rate,KDA,Damage,Healing,Solo Kill,Final Blows
Ana,SUPPORT,7.95,48.24,4.52,2827.0,7285.0,0.32,2.55
Mercy,SUPPORT,7.64,50.14,4.04,468.0,9011.0,0.18,0.81
Cassidy,DAMAGE,4.23,47.48,2.85,7973.0,5.0,2.22,10.55
Moira,SUPPORT,4.19,50.25,6.14,5512.0,8333.0,0.83,5.54
D.Va,TANK,3.89,51.83,6.36,7477.0,18.0,1.57,8.60
Kiriko,SUPPORT,3.58,48.38,4.94,2990.0,7972.0,0.49,3.17
Genji,DAMAGE,3.51,50.61,2.68,7108.0,19.0,2.16,9.69
Soldier: 76,DAMAGE,3.42,50.20,3.21,8952.0,1419.0,1.99,10.13
Reinhardt,TANK,3.25,52.38,3.07,7323.0,1.0,1.19,8.91
Widowmaker,DAMAGE,3.07,46.89,2.61,5604.0,1.0,3.91,9.74
Zenyatta,SUPPORT,3.06,52.12,5.44,5182.0,5828.0,1.00,5.52
Hanzo,DAMAGE,2.99,47.64,3.21,7641.0,2.0,2.83,10.72
Lúcio,SUPPORT,2.87,52.42,3.80,3835.0,7213.0,0.62,3.24
Junkrat,DAMAGE,2.54,49.36,2.84,8205.0,0.0,3.15,10.65
Zarya,TANK,2.51,49.67,4.94,8406.0,1.0,0.77,7.65
Ashe,DAMAGE,2.50,50.44,3.43,8598.0,1.0,1.73,8.86
Juno,SUPPORT,2.45,50.76,4.89,3904.0,8030.0,0.27,3.23
Roadhog,TANK,2.35,48.17,4.31,7478.0,4498.0,1.71,9.27
Tracer,DAMAGE,2.10,48.22,2.80,6363.0,1.0,2.29,8.48
Sombra,DAMAGE,2.01,46.99,3.48,5250.0,649.0,1.70,6.95
Reaper,DAMAGE,1.97,52.14,3.10,7779.0,1279.0,2.70,11.33
Pharah,DAMAGE,1.87,51.14,3.05,8508.0,0.0,2.80,11.00
Lifeweaver,SUPPORT,1.80,47.56,5.56,1737.0,9156.0,0.16,1.42
Winston,TANK,1.76,51.18,4.07,7323.0,40.0,1.38,8.25
Mei,DAMAGE,1.76,50.80,3.81,6248.0,1045.0,1.31,7.02
Orisa,TANK,1.72,47.66,4.13,8569.0,1.0,0.57,6.76
Baptiste,SUPPORT,1.55,46.58,4.29,3806.0,8001.0,0.49,3.75
Brigitte,SUPPORT,1.50,53.70,4.09,3849.0,7394.0,0.61,4.58
Torbjörn,DAMAGE,1.43,55.63,3.32,9123.0,9.0,1.76,8.58
Bastion,DAMAGE,1.38,49.24,3.10,9709.0,568.0,1.75,10.61
Sojourn,DAMAGE,1.38,47.10,3.02,8729.0,0.0,1.20,8.52
Symmetra,DAMAGE,1.37,56.43,3.60,7491.0,47.0,1.55,8.27
Doomfist,TANK,1.34,48.50,3.29,7323.0,134.0,2.12,9.26
Sigma,TANK,1.30,50.91,4.65,9420.0,0.0,0.68,7.25
Illari,SUPPORT,1.21,52.18,4.01,4779.0,7591.0,0.59,4.71
Junker Queen,TANK,1.05,52.40,5.25,9608.0,2012.0,0.99,9.10
Ramattra,TANK,1.02,51.64,4.42,10096.0,224.0,0.80,8.85
Wrecking Ball,TANK,0.96,50.62,4.49,6927.0,31.0,1.39,6.84
Echo,DAMAGE,0.76,48.91,2.62,8292.0,132.0,1.61,9.29
Venture,DAMAGE,0.75,54.14,2.79,7981.0,0.0,1.82,8.97
Mauga,TANK,0.48,49.73,4.76,11178.0,1882.0,0.69,8.00
