Hero,Position,Pick Rate,Win Rate,KDA,Damage,Healing,Solo Kill,Final Blows
Ana,SUPPORT,7.98,49.05,4.51,2822.0,7204.0,0.30,2.51
Mercy,SUPPORT,7.75,51.01,4.06,463.0,9038.0,0.16,0.77
Moira,SUPPORT,4.58,50.75,6.13,5501.0,8438.0,0.81,5.46
Cassidy,DAMAGE,4.14,48.55,2.85,7984.0,5.0,2.16,10.39
D.Va,TANK,3.56,51.39,6.35,7483.0,22.0,1.53,8.49
Zenyatta,SUPPORT,3.40,53.66,5.37,5151.0,5900.0,0.96,5.39
Soldier: 76,DAMAGE,3.36,49.84,3.23,8971.0,1427.0,1.93,9.98
Kiriko,SUPPORT,3.28,47.51,4.91,3052.0,7994.0,0.47,3.16
Genji,DAMAGE,3.24,51.09,2.61,7109.0,22.0,2.10,9.53
Reinhardt,TANK,3.19,53.93,3.05,7347.0,1.0,1.13,8.83
Zarya,TANK,2.89,50.81,4.76,8489.0,0.0,0.74,7.59
Ashe,DAMAGE,2.85,51.06,3.49,8591.0,1.0,1.65,8.58
Hanzo,DAMAGE,2.84,48.51,3.28,7717.0,3.0,2.70,10.57
Roadhog,TANK,2.61,48.88,4.26,7562.0,4517.0,1.66,9.30
Widowmaker,DAMAGE,2.57,47.76,2.66,5628.0,1.0,3.86,9.70
Juno,SUPPORT,2.48,50.35,4.80,3897.0,8088.0,0.25,3.18
Junkrat,DAMAGE,2.47,50.45,2.78,8251.0,0.0,3.11,10.56
Lúcio,SUPPORT,2.46,54.16,3.80,3804.0,7366.0,0.56,3.12
Lifeweaver,SUPPORT,2.24,47.79,5.62,1783.0,9164.0,0.16,1.44
Orisa,TANK,2.01,48.89,4.28,8634.0,0.0,0.54,6.75
Tracer,DAMAGE,1.87,49.45,2.99,6407.0,1.0,2.21,8.40
Sombra,DAMAGE,1.86,47.43,3.32,5287.0,646.0,1.69,6.94
Pharah,DAMAGE,1.84,52.96,2.97,8525.0,0.0,2.70,10.82
Mei,DAMAGE,1.81,52.20,3.70,6209.0,1037.0,1.25,6.89
Reaper,DAMAGE,1.80,52.99,3.08,7750.0,1270.0,2.64,11.28
Sojourn,DAMAGE,1.77,48.47,3.12,8747.0,0.0,1.13,8.33
Baptiste,SUPPORT,1.56,47.44,4.19,3787.0,7989.0,0.46,3.70
Winston,TANK,1.48,51.11,4.03,7343.0,37.0,1.30,8.15
Bastion,DAMAGE,1.38,50.30,3.25,9659.0,612.0,1.69,10.45
Brigitte,SUPPORT,1.33,53.60,4.16,3844.0,7418.0,0.58,4.54
Illari,SUPPORT,1.33,53.39,4.01,4798.0,7655.0,0.58,4.66
Sigma,TANK,1.30,50.95,4.65,9446.0,0.0,0.65,7.17
Torbjörn,DAMAGE,1.25,56.40,3.49,9193.0,6.0,1.73,8.51
Symmetra,DAMAGE,1.23,57.10,3.82,7576.0,48.0,1.47,8.16
Wrecking Ball,TANK,1.19,52.64,4.55,7088.0,31.0,1.43,6.95
Junker Queen,TANK,1.18,52.75,5.49,9640.0,2005.0,0.95,8.96
Doomfist,TANK,1.14,48.87,3.45,7453.0,146.0,2.03,9.08
Ramattra,TANK,1.08,51.33,4.47,10075.0,229.0,0.80,8.81
Venture,DAMAGE,0.87,55.12,2.83,7940.0,0.0,1.88,9.09
Echo,DAMAGE,0.76,48.27,2.53,8402.0,135.0,1.55,9.21
Mauga,TANK,0.54,50.79,4.86,11239.0,1872.0,0.69,7.95
