Hero,Position,Pick Rate,Win Rate,KDA,Damage,Healing,Solo Kill,Final Blows
Ana,SUPPORT,7.47,48.83,4.47,3181.0,7294.0,0.35,2.63
Mercy,SUPPORT,5.68,50.19,4.05,465.0,8986.0,0.21,0.89
Cassidy,DAMAGE,4.43,47.06,2.75,8499.0,1.0,2.00,10.30
Genji,DAMAGE,3.98,50.41,2.72,7546.0,6.0,2.00,9.82
Kiriko,SUPPORT,3.86,48.17,4.72,3173.0,8109.0,0.58,3.31
Moira,SUPPORT,3.79,50.18,5.99,5761.0,8509.0,0.86,5.45
Widowmaker,DAMAGE,3.56,47.65,2.58,5965.0,2.0,4.11,10.21
Reinhardt,TANK,3.29,53.13,3.07,8517.0,1.0,1.21,9.45
Soldier: 76,DAMAGE,3.23,49.12,3.20,9417.0,1381.0,1.85,9.85
Hanzo,DAMAGE,3.09,47.81,3.11,8112.0,1.0,2.65,10.42
D.Va,TANK,3.06,51.40,6.85,8577.0,3.0,1.57,9.41
Lúcio,SUPPORT,2.86,53.26,3.98,4162.0,6657.0,0.71,3.63
Ashe,DAMAGE,2.79,50.64,3.35,9240.0,1.0,1.72,8.85
Juno,SUPPORT,2.76,52.11,5.00,4164.0,8436.0,0.35,3.43
Zenyatta,SUPPORT,2.73,52.83,5.54,5576.0,6004.0,1.08,5.60
Tracer,DAMAGE,2.70,49.00,2.74,6636.0,1.0,2.16,8.51
Junkrat,DAMAGE,2.61,50.95,2.99,8859.0,1.0,2.90,10.37
Zarya,TANK,2.26,49.37,5.14,9914.0,1.0,0.86,8.56
Reaper,DAMAGE,2.20,51.90,3.11,8272.0,1503.0,2.47,11.34
Sombra,DAMAGE,2.14,47.12,3.48,5729.0,518.0,1.91,7.44
Roadhog,TANK,2.06,47.45,4.25,8341.0,4660.0,1.60,9.31
Doomfist,TANK,1.98,49.58,3.50,8166.0,207.0,1.96,9.37
Baptiste,SUPPORT,1.94,47.55,4.53,4174.0,7904.0,0.64,4.12
Pharah,DAMAGE,1.90,51.90,3.02,9255.0,1.0,2.57,11.14
Winston,TANK,1.79,50.84,4.36,8537.0,6.0,1.36,8.62
Brigitte,SUPPORT,1.70,53.66,4.69,3972.0,7930.0,0.61,4.37
Lifeweaver,SUPPORT,1.69,46.67,5.08,1674.0,9296.0,0.20,1.44
Mei,DAMAGE,1.54,50.28,3.81,6937.0,1159.0,1.27,7.18
Illari,SUPPORT,1.53,52.98,4.00,5197.0,7464.0,0.76,5.16
Orisa,TANK,1.53,46.25,4.01,9949.0,1.0,0.69,7.55
Sigma,TANK,1.50,50.91,4.79,10507.0,1.0,0.81,7.85
Bastion,DAMAGE,1.44,48.65,3.13,10295.0,574.0,1.63,10.30
Sojourn,DAMAGE,1.42,46.04,3.33,9082.0,0.0,1.29,8.62
Junker Queen,TANK,1.41,53.35,5.59,10327.0,2274.0,1.14,9.75
Venture,DAMAGE,1.32,53.25,2.76,8203.0,0.0,1.89,9.09
Torbjörn,DAMAGE,1.20,54.75,3.39,9587.0,4.0,1.69,8.45
Echo,DAMAGE,1.20,49.46,2.79,8671.0,151.0,1.70,9.46
Symmetra,DAMAGE,1.10,54.94,3.60,7981.0,73.0,1.47,8.16
Ramattra,TANK,1.09,50.23,4.25,10689.0,238.0,0.92,9.07
Wrecking Ball,TANK,1.07,50.43,5.10,7616.0,9.0,1.59,7.54
Mauga,TANK,0.72,49.45,4.94,11702.0,1852.0,0.81,8.26
