강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 전국
기간 : 2016~2022 01~12

년월,지점,강수량(mm)
2016-01,전국,24.6
2016-02,전국,46.7
2016-03,전국,57
2016-04,전국,159.5
2016-05,전국,98.7
2016-06,전국,66.8
2016-07,전국,309.7
2016-08,전국,78.2
2016-09,전국,206.2
2016-10,전국,144.1
2016-11,전국,32.5
2016-12,전국,65
2017-01,전국,14.4
2017-02,전국,30.6
2017-03,전국,23.9
2017-04,전국,71
2017-05,전국,30
2017-06,전국,59.7
2017-07,전국,313.5
2017-08,전국,239.5
2017-09,전국,99.3
2017-10,전국,65.5
2017-11,전국,13.1
2017-12,전국,22
2018-01,전국,21.3
2018-02,전국,31.9
2018-03,전국,112.3
2018-04,전국,137.1
2018-05,전국,134.1
2018-06,전국,137.5
2018-07,전국,178.9
2018-08,전국,304.3
2018-09,전국,143.7
2018-10,전국,157.8
2018-11,전국,49.8
2018-12,전국,28.4
2019-01,전국,8
2019-02,전국,32.2
2019-03,전국,39.4
2019-04,전국,78.9
2019-05,전국,56.7
2019-06,전국,150
2019-07,전국,226.5
2019-08,전국,136.9
2019-09,전국,223
2019-10,전국,160.5
2019-11,전국,57.4
2019-12,전국,26.5
2020-01,전국,83.7
2020-02,전국,58.7
2020-03,전국,29.2
2020-04,전국,41
2020-05,전국,103.5
2020-06,전국,182.9
2020-07,전국,427.7
2020-08,전국,420.8
2020-09,전국,219.1
2020-10,전국,10.5
2020-11,전국,40.8
2020-12,전국,7.8
2021-01,전국,19.9
2021-02,전국,20.1
2021-03,전국,110.7
2021-04,전국,76.3
2021-05,전국,143.8
2021-06,전국,91.6
2021-07,전국,233.8
2021-08,전국,288.4
2021-09,전국,145.8
2021-10,전국,53.9
2021-11,전국,58
2021-12,전국,7.2
2022-01,전국,2.6
2022-02,전국,3.5
2022-03,전국,89.4
2022-04,전국,59.4
2022-05,전국,5.8
2022-06,전국,184.7
2022-07,전국,178.4
2022-08,전국,311.5
2022-09,전국,150.8
2022-10,전국,77.6
2022-11,전국,61.6
2022-12,전국,15.2
