리뷰ID,영화제목,평점,리뷰내용,작성일
1,인셉션,9.5,놀라운 상상력과 반전,2024-05-10
2,인셉션,9.5,역시 놀란 감독!,2024-05-11
3,라라랜드,8.8,색감과 OST가 정말 아름다워요,2024-05-12
4,어벤져스,9.0,최고의 히어로 영화!,2024-05-13
5,어벤져스,9.0,최고의 히어로 영화!,2024-05-13
6,기생충,9.2,블랙 코미디의 정수!,2024-05-14
7,기생충,9.2,블랙 코미디의 정수!,2024-05-14
8,범죄도시,7.5,,2024-05-15
9,범죄도시,7.5,마동석의 시원한 액션!,2024-05-16
10,인터스텔라,9.8,이해하기 어렵지만 최고.,2024-05-17
11,인터스텔라,9.8,이해하기 어렵지만 최고.,2024-05-17
12,인터스텔라,9.8,이해하기 어렵지만 최고.,2024-05-17
13,라라랜드,,OST는 좋았는데 스토리가 아쉬워요,2024-05-18
14,인셉션,9.5,진짜 명작입니다. 여러번 봤어요.,2024-05-19
15,인셉션,9.5,진짜 명작입니다. 여러번 봤어요.,2024-05-19
16,라라랜드,8.8,색감과 OST가 정말 아름다워요,2024-05-12
